track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,7,14,141381703,80,89,83,31,8,4,
LALA,Myke Towers,2023,3,23,133716286,71,61,74,7,10,4,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05
vampire,Olivia Rodrigo,2023,6,30,140003974,51,32,53,17,31,6,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Cruel Summer,Taylor Swift,2019,8,23,800840817,55,58,72,11,11,15,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
WHERE SHE GOES,Bad Bunny,2023,5,18,303236322,65,23,80,14,11,6,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1
Sprinter,"Dave, Central Cee",2023,6,1,183706234,92,66,58,19,8,24,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,3,16,725980112,67,83,76,48,8,3,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef
Columbia,Quevedo,2023,7,7,58149378,67,26,71,37,11,4,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9
fukumean,Gunna,2023,5,15,95217315,85,22,62,12,28,9,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,3,17,553634067,81,56,48,21,8,33,
un x100to,"Bad Bunny, Grupo Frontera",2023,4,17,505671438,57,56,72,23,27,5,
Super Shy,NewJeans,2023,7,7,58255150,78,52,82,18,15,7,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af
Flowers,Miley Cyrus,2023,1,12,1316855716,71,65,68,6,3,7,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Daylight,David Kushner,2023,4,14,387570742,51,32,43,83,9,3,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
As It Was,Harry Styles,2022,3,31,2513188493,52,66,73,34,31,6,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Kill Bill,SZA,2022,12,8,1163093654,64,43,73,5,16,4,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
Cupid - Twin Ver.,Fifty Fifty,2023,2,24,496795686,78,76,59,43,34,3,https://i.scdn.co/image/ab67616d0000b2733013522be45e72a9b2514dd8
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,7,13,30546883,44,14,9,96,10,3,
Classy 101,"Feid, Young Miko",2023,3,31,335222234,86,67,66,14,12,16,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
Like Crazy,Jimin,2023,3,24,363369738,63,36,73,0,36,4,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,6,22,86444842,65,87,74,22,42,4,
I Can See You (Taylor   s Version) (From The ,Taylor Swift,2023,7,7,52135248,69,82,76,6,6,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
I Wanna Be Yours,Arctic Monkeys,2013,1,1,1297026226,48,44,42,12,11,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,5,31,200647221,85,81,67,26,12,5,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,6,2,115364561,85,83,68,7,36,20,
SABOR FRESA,Fuerza Regida,2023,6,22,78300654,79,96,86,9,9,9,https://i.scdn.co/image/ab67616d0000b273cfe3eb72c48b93971e53efd9
Calm Down (with Selena Gomez),"R  ma, Selena G",2022,3,25,899183384,80,82,80,43,14,4,
MOJABI GHOST,"Tainy, Bad Bunny",2023,6,29,61245289,81,74,71,14,56,4,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b
Last Night,Morgan Wallen,2023,1,31,429829812,52,52,68,46,15,4,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
Dance The Night (From Barbie The Album),Dua Lipa,2023,5,25,127408954,67,78,85,2,33,5,https://i.scdn.co/image/ab67616d0000b2737dd3ba455ee3390cb55b0192
Rush,Troye Sivan,2023,7,13,22581161,74,35,84,0,11,6,https://i.scdn.co/image/ab67616d0000b27367103283a4eb57578a428252
TULUM,"Peso Pluma, Grupo Frontera",2023,6,28,52294266,56,63,87,39,11,5,https://i.scdn.co/image/ab67616d0000b2732fb583ed96f8f35cbf2897ba
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,12,2,843957510,71,17,61,36,8,5,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5
Anti-Hero,Taylor Swift,2022,10,21,999748277,64,51,63,12,19,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
TQG,"Karol G, Shakira",2023,2,23,618990393,72,61,63,67,9,28,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,6,1,123122413,81,63,68,11,11,4,
Fr  gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023,4,7,188933502,61,39,73,37,11,3,
Blank Space,Taylor Swift,2014,1,1,1355959075,75,57,68,9,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
Style,Taylor Swift,2014,1,1,786181836,60,48,79,0,12,4,https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac
TQM,Fuerza Regida,2023,5,19,176553476,79,96,85,27,11,6,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d
El Azul,"Junior H, Peso Pluma",2023,2,10,354495408,56,84,65,23,10,6,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,10,9,2808096550,76,91,50,54,7,5,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,8,26,1109433169,56,38,97,4,35,4,
See You Again,"Tyler, The Creator, Kali Uchis",2017,7,21,1047101291,56,58,56,37,11,10,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023,6,23,65156199,77,75,58,52,23,25,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116
Angels Like You,Miley Cyrus,2020,11,27,570515054,67,49,64,10,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
I Ain't Worried,OneRepublic,2022,5,13,1085685420,71,82,81,11,6,5,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13
Die For You,The Weeknd,2016,11,24,1647990401,59,51,52,9,15,7,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
Starboy,"The Weeknd, Daft Punk",2016,9,21,2565529693,68,49,59,16,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
Die For You - Remix,"Ariana Grande, The Weeknd",2023,2,24,518745108,53,50,53,23,44,7,
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023,6,2,107753850,72,17,64,7,10,5,
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023,4,6,177740666,60,23,91,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
AMARGURA,Karol G,2023,2,24,153372011,92,55,70,18,15,7,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
(It Goes Like) Nanana - Edit,Peggy Gou,2023,6,15,57876440,67,96,88,12,8,4,https://i.scdn.co/image/ab67616d0000b27388d71aadd009fe1a83df88f2
Another Love,Tom Odell,2012,10,15,1813673666,45,13,54,70,9,4,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
Blinding Lights,The Weeknd,2019,11,29,3703895074,50,38,80,0,9,7,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Moonlight,Kali Uchis,2023,2,24,256483385,64,88,72,51,17,5,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17
La Bachata,Manuel Turizo,2022,5,26,1214083358,84,85,68,58,22,4,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
S91,Karol G,2023,7,14,16011326,86,42,72,59,9,19,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e
cardigan,Taylor Swift,2020,7,24,812019557,61,53,58,55,27,4,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
T ,"dennis, MC Kevin o Chris",2023,5,4,111947664,86,59,96,50,9,5,https://i.scdn.co/image/ab67616d0000b273ddfc406de0d7dbc2e339f016
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023,2,3,156338624,70,86,81,25,25,5,https://i.scdn.co/image/ab67616d0000b2739567e1aa41657425d046733b
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022,6,24,720434240,88,72,59,62,9,3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49
BESO,"Rauw Alejandro, ROSAL ",2023,3,24,357925728,77,53,64,74,17,14,
